mobygames_id	world_of_spectrum_id
footballer-of-the-year	0001832
footballer-of-the-year-2	0001834
for-your-thighs-only	0006318
forbidden-planet	0001837
forest	0001843
forest-at-worlds-end	0006321
formula-1-simulator	0001844
formula-one	0001845
four-minutes-to-midnight	0006323
fourth-protocol	0006327
foxx-fights-back	0001846
frank-brunos-boxing	0001848
frank-n-stein	0001849
frankenstein	0006331
frankenstein-2000	0001852
frankenstein-jnr	0026268
frankie-goes-to-hollywood	0001854
fred	0001858
freddy-hardest	0001860
freddy-hardest-in-south-manhattan	0001863
free-climbing	0001866
freez-bees	0001870
frenzy___	0001871
frenzy____	0004193
friday-the-13th_	0001874
frightmare	0001877
froggy	0001890
frogrun	0001881
from-out-of-a-dark-night-sky	0006337
frost-byte	0001894
fruit-machine-simulator	0009348
fruit-machine-simulator-2	0009349
full-throttle_	0001908
fury__	0001911
future-games	0001916
future-knight	0001920
g-loc-air-battle	0002060
galactic-abductors	0001924
galactic-games	0001927
galactic-patrol-	0001929
galactic-trooper	0001930
galaxian	0001933
galaxians__	0001934
galletron	0001942
game-of-harmony	0001617
game-over	0001958
game-over-ii	0003676
gandalf-the-sorcerer	0004618
gangsters	0001976
garfield-big-fat-hairy-deal	0001977
garfield-winters-tail	0001979
gary-linekers-hot-shot	0001982
gary-linekers-superskills	0001984
gatecrasher	0001986
gazza-ii	0001996
gba-championship-basketball-two-on-two	0001998
genghis-khan_	0002023
geoff-capes-strongman	0002013
gerbil-riot-of-67	0006350
gerry-the-germ-goes-body-poppin	0002016
get-me-to-the-church-on-time	0006351
ghost-hunters	0009350
ghost-town_	0006352
ghostbusters	0002025
ghostbusters-ii___	0002031
gi-hero	0002038
giants-revenge	0002040
gift-from-the-gods	0002041
gilbert-escape-from-drill	0002044
gilligans-gold	0002047
gladiator_	0002050
gladiator__	0002130
glass	0002052
glider-rider	0002054
global-commander	0000269
glug-glug	0002062
gnasher	0002063
gnome-ranger	0006357
go-to-hell	0002069
gobble-a-ghost	0002073
gobbleman	0002074
gold-mine	0002078
golden-apple	0005920
golden-basket	0002084
golden-baton	0006372
golf____	0004726
gonzzalezz	0002097
goody	0002099
goonies_	0002103
gordello-incident	0006384
gothik	0002107
gradius	0003385
graham-goochs-test-cricket	0002111
grand-national	0002112
grand-prix_	0002113
grand-prix-circuit	0002116
grand-prix-master	0000285
grand-prix-simulator	0009353
grand-prix-simulator-2	0009354
grand-prix-tennis	0010521
grange-hill	0002120
great-britain-limited	0002123
great-escape	0002125
gregory-loses-his-clock	0002137
grell-and-fella	0009355
gremlins-the-adventure	0006399
greyfell-legend-of-norman	0002143
grid-bug	0002149
grid-iron-2	0002146
grid-run-and-pontoon	0002150
gridrunner	0002151
gridtrap	0002148
ground-attack	0002155
ground-force-zero	0002156
ground-zero	0006402
growing-pains-of-adrian-mole	0006403
grumpy-gumphrey-supersleuth	0002157
guadalcanal	0002164
guardian-ii-revenge-of-the-mutants	0002167
guerrilla-war	0002171
gulp-2	0002175
gunboat_	0002176
gunfright	0009357
gunrunner	0002181
gunship	0002183
gunstar	0002186
gutz	0002189
gyron	0018848
gyroscope	0002196
h-r-h	0006454
hacker	0002200
hacker-ii-the-doomsday-papers	0002202
hades-nebula	0002204
halaga	0002206
halls-of-the-things	0002209
hammer-boy	0002216
hammerfist	0002218
hampstead	0006419
handicap-golf	0010527
happiest-days-of-your-life	0002231
hard	0002235
hard-cheese	0002232
hard-drivin	0002233
hardball	0002236
harrier-7	0003530
harrier-attack	0002241
harvey-headbanger	0002246
hate-hostile-all-terrain-encounter	0002247
havoc_	0002253
hawk-storm	0002256
head-coach	0002258
head-over-heels	0002259
heartbroken	0002266
heartland	0002267
heathrow-international-air-traffic-control	0002270
heathrow-international-air-traffic-control	0010530
heavy-on-the-magick	0002274
helichopper	0002280
hellfire_	0002287
hellfire-attack	0002288
helm	0006423
helter-skelter	0002291
helvera-mistress-of-the-park	0006425
herberts-dummy-run	0002295
hercules	0002298
hercules-slayer-of-the-damned	0002299
hermitage	0006429
hero	0002301
heroes-of-karn	0006431
heroes-of-the-lance	0002306
heroquest	0002302
heroquest-return-of-the-witch-lord	0002304
